"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"1815","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,20,4,49,"global",2,623,-463,1818,322,-325,1624,"AMR",2.68623198395786,20,73.7246396791572
"1816","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,6,2,15,"global",2,1560,-774,3918,783,-434,3607,"AMR",2.68623198395786,6,22.1173919037472
"1817","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,16,0,49,NA,NA,NA,NA,NA,16,0,49,"AMR",2.68623198395786,16,58.9797117433258
"1818","Low income","COD","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,5,-94,101,NA,NA,NA,NA,NA,5,-94,101,"AMR",2.68623198395786,5,18.4311599197893
"1819","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,18,-1,53,NA,NA,NA,NA,NA,18,-1,53,"AMR",2.68623198395786,18,66.3521757112415
"1820","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,20,7,46,"global",9,317,-159,790,168,-92,736,"AMR",2.68623198395786,20,73.7246396791572
"1821","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,24,6,55,NA,NA,NA,NA,NA,24,6,55,"AMR",2.68623198395786,24,88.4695676149886
"1822","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,33,11,75,"global",5,2882,-648,6474,1458,-77,5893,"AMR",2.68623198395786,33,121.645655470609
"1823","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","whoc",1,77,28,172,"global",12,221,-77,540,149,-40,499,"AMR",2.68623198395786,77,283.839862764755
"1824","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","wbregion",1,16,6,36,"wbregion",1,112,-117,335,64,-79,299,"AMR",2.68623198395786,16,58.9797117433258
"1825","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,27,9,62,"global",10,3425,136,6793,1726,9,6055,"AMR",2.68623198395786,27,99.5282635668622
"1826","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,21,0,60,"global",4,22167,174,45107,11094,0,41481,"AMR",2.68623198395786,21,77.4108716631151
"1827","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,13,2,36,"global",7,2922,-3701,10251,1468,-2726,8928,"AMR",2.68623198395786,13,47.9210157914522
"1828","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,2,-18,26,NA,NA,NA,NA,NA,2,-18,26,"AMR",2.68623198395786,2,7.37246396791572
"1829","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,8,-40,55,"global",1,6412,-6481,18507,3210,-4035,16760,"AMR",2.68623198395786,8,29.4898558716629
"1830","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,583,-300,1832,"global",1,47717,-45068,142901,24150,-29479,127063,"AMR",2.68623198395786,583,2149.07324664743
"1831","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,8,1,21,"global",5,-547,-5046,4091,-270,-4523,3248,"AMR",2.68623198395786,8,29.4898558716629
"1832","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,31,9,71,"global",2,35629,-15939,88777,17830,-8357,81989,"AMR",2.68623198395786,31,114.273191502694
"1833","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,49,10,127,"global",2,609,-557,1719,329,-318,1547,"AMR",2.68623198395786,49,180.625367213935
"1834","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,14,5,34,"global",2,1472,-854,3785,743,-506,3344,"AMR",2.68623198395786,14,51.60724777541
"1835","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,39,1,103,NA,NA,NA,NA,NA,39,1,103,"AMR",2.68623198395786,39,143.763047374357
"1836","Low income","ERI","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,4,-231,241,NA,NA,NA,NA,NA,4,-231,241,"AMR",2.68623198395786,4,14.7449279358314
"1837","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,17,-1,46,NA,NA,NA,NA,NA,17,-1,46,"AMR",2.68623198395786,17,62.6659437272836
"1838","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,18,6,41,"global",9,318,-173,779,168,-86,706,"AMR",2.68623198395786,18,66.3521757112415
"1839","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,21,6,49,NA,NA,NA,NA,NA,21,6,49,"AMR",2.68623198395786,21,77.4108716631151
"1840","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,29,9,66,"global",5,2844,-918,6629,1437,-213,5970,"AMR",2.68623198395786,29,106.900727534778
"1841","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","whoc",1,69,25,150,"global",12,213,-110,507,141,-59,462,"AMR",2.68623198395786,69,254.350006893092
"1842","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","wbregion",1,15,5,32,"wbregion",1,108,-112,337,61,-78,299,"AMR",2.68623198395786,15,55.2934797593679
"1843","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,24,8,55,"global",10,3409,410,6786,1716,8,5858,"AMR",2.68623198395786,24,88.4695676149886
"1844","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,19,0,50,"global",4,21459,-3727,45813,10739,-4,42919,"AMR",2.68623198395786,19,70.0384076951993
"1845","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,12,1,34,"global",7,2953,-3606,10333,1482,-2845,9065,"AMR",2.68623198395786,12,44.2347838074943
"1846","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,1,-18,21,NA,NA,NA,NA,NA,1,-18,21,"AMR",2.68623198395786,1,3.68623198395786
"1847","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,8,-32,50,"global",1,6254,-6751,19134,3131,-4429,16555,"AMR",2.68623198395786,8,29.4898558716629
"1848","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,546,-255,1781,"global",1,48399,-47451,140421,24472,-32630,125532,"AMR",2.68623198395786,546,2012.68266324099
"1849","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,8,1,21,"global",5,-852,-5109,3737,-422,-4646,2930,"AMR",2.68623198395786,8,29.4898558716629
"1850","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,28,8,61,"global",2,36372,-15995,85199,18200,-7161,78111,"AMR",2.68623198395786,28,103.21449555082
"1851","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,44,9,115,"global",2,625,-556,1711,334,-349,1592,"AMR",2.68623198395786,44,162.194207294146
"1852","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,13,4,31,"global",2,1635,-595,3915,824,-287,3633,"AMR",2.68623198395786,13,47.9210157914522
"1853","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,37,2,101,NA,NA,NA,NA,NA,37,2,101,"AMR",2.68623198395786,37,136.390583406441
"1854","Low income","ETH","AFRO E","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,7,-179,208,NA,NA,NA,NA,NA,7,-179,208,"AMR",2.68623198395786,7,25.803623887705
"1855","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,18,0,48,NA,NA,NA,NA,NA,18,0,48,"AMR",2.68623198395786,18,66.3521757112415
"1856","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,19,7,40,"global",9,324,-140,781,171,-65,701,"AMR",2.68623198395786,19,70.0384076951993
"1857","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,23,6,54,NA,NA,NA,NA,NA,23,6,54,"AMR",2.68623198395786,23,84.7833356310308
"1858","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,31,11,66,"global",5,2915,-643,6403,1473,-38,5865,"AMR",2.68623198395786,31,114.273191502694
"1859","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","wbregion",1,71,30,148,"global",12,223,-86,514,147,-42,483,"AMR",2.68623198395786,71,261.722470861008
"1860","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,15,6,30,"whoc",1,118,-113,350,66,-70,305,"AMR",2.68623198395786,15,55.2934797593679
"1861","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,25,8,52,"global",10,3360,285,6588,1692,9,6143,"AMR",2.68623198395786,25,92.1557995989465
"1862","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,19,0,52,"global",4,22178,-1697,45909,11099,-1,42040,"AMR",2.68623198395786,19,70.0384076951993
"1863","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,12,1,31,"global",7,3033,-3888,9865,1522,-3068,8930,"AMR",2.68623198395786,12,44.2347838074943
"1864","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,1,-19,20,NA,NA,NA,NA,NA,1,-19,20,"AMR",2.68623198395786,1,3.68623198395786
"1865","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,8,-30,44,"global",1,6142,-6340,18986,3075,-4642,16878,"AMR",2.68623198395786,8,29.4898558716629
"1866","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,562,-186,1719,"global",1,47696,-43249,136412,24129,-27751,123283,"AMR",2.68623198395786,562,2071.66237498432
"1867","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,8,1,21,"global",5,-821,-5520,3396,-406,-4467,2720,"AMR",2.68623198395786,8,29.4898558716629
"1868","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,29,10,64,"global",2,36602,-15940,83842,18316,-5220,77419,"AMR",2.68623198395786,29,106.900727534778
"1869","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,45,10,112,"global",2,636,-435,1757,341,-235,1565,"AMR",2.68623198395786,45,165.880439278104
"1870","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,13,4,29,"global",2,1596,-809,3921,805,-379,3630,"AMR",2.68623198395786,13,47.9210157914522
"1871","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,37,2,95,NA,NA,NA,NA,NA,37,2,95,"AMR",2.68623198395786,37,136.390583406441
"1872","Low income","GIN","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,12,-185,235,NA,NA,NA,NA,NA,12,-185,235,"AMR",2.68623198395786,12,44.2347838074943
"1873","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,27,1,74,NA,NA,NA,NA,NA,27,1,74,"AMR",2.68623198395786,27,99.5282635668622
"1874","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,30,11,67,"global",9,311,-113,750,170,-65,680,"AMR",2.68623198395786,30,110.586959518736
"1875","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,36,11,87,NA,NA,NA,NA,NA,36,11,87,"AMR",2.68623198395786,36,132.704351422483
"1876","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,49,17,115,"global",5,2865,-533,6610,1457,9,5896,"AMR",2.68623198395786,49,180.625367213935
"1877","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","wbregion",1,114,45,242,"global",12,221,-71,505,167,-20,458,"AMR",2.68623198395786,114,420.230446171196
"1878","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,24,10,51,"whoc",1,116,-97,336,70,-63,299,"AMR",2.68623198395786,24,88.4695676149886
"1879","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,40,14,92,"global",10,3397,231,6735,1718,15,6045,"AMR",2.68623198395786,40,147.449279358314
"1880","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,30,1,83,"global",4,22183,-1990,45811,11107,-2,41894,"AMR",2.68623198395786,30,110.586959518736
"1881","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,20,3,54,"global",7,3125,-3925,9784,1572,-2934,8719,"AMR",2.68623198395786,20,73.7246396791572
"1882","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,1,-28,33,NA,NA,NA,NA,NA,1,-28,33,"AMR",2.68623198395786,1,3.68623198395786
"1883","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,13,-44,84,"global",1,6048,-6327,18881,3031,-4005,16151,"AMR",2.68623198395786,13,47.9210157914522
"1884","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,891,-336,2737,"global",1,48712,-40894,140244,24801,-26119,126950,"AMR",2.68623198395786,891,3284.43269770645
"1885","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,13,2,33,"global",5,-878,-5346,3622,-433,-4648,2786,"AMR",2.68623198395786,13,47.9210157914522
"1886","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,45,16,96,"global",2,36689,-14307,86239,18367,-4216,78239,"AMR",2.68623198395786,45,165.880439278104
"1887","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,71,13,169,"global",2,643,-427,1790,357,-265,1610,"AMR",2.68623198395786,71,261.722470861008
"1888","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,22,7,51,"global",2,1562,-596,3908,792,-333,3533,"AMR",2.68623198395786,22,81.0971036470729
"1889","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,58,3,161,NA,NA,NA,NA,NA,58,3,161,"AMR",2.68623198395786,58,213.801455069556
"1890","Low income","GMB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,15,-324,398,NA,NA,NA,NA,NA,15,-324,398,"AMR",2.68623198395786,15,55.2934797593679
"1891","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","B-J","global",3,21,-1,61,NA,NA,NA,NA,NA,21,-1,61,"AMR",2.68623198395786,21,77.4108716631151
"1892","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","BSI","global",29,22,7,51,"global",9,321,-154,785,172,-74,714,"AMR",2.68623198395786,22,81.0971036470729
"1893","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","BSI","global",13,26,8,66,NA,NA,NA,NA,NA,26,8,66,"AMR",2.68623198395786,26,95.8420315829044
"1894","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","BSI","global",14,36,12,89,"global",5,2765,-398,6276,1400,10,5722,"AMR",2.68623198395786,36,132.704351422483
"1895","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","BSI","wbregion",1,85,31,198,"global",12,222,-64,512,153,-11,468,"AMR",2.68623198395786,85,313.329718636418
"1896","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","COL/INF","whoc",1,18,7,41,"whoc",1,115,-102,344,66,-68,297,"AMR",2.68623198395786,18,66.3521757112415
"1897","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","COL/INF","global",21,30,10,73,"global",10,3475,297,6618,1752,11,6268,"AMR",2.68623198395786,30,110.586959518736
"1898","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","COL/INF","global",7,22,1,63,"global",4,21380,-1311,45091,10701,-1,41626,"AMR",2.68623198395786,22,81.0971036470729
"1899","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","COL/INF","global",14,14,1,38,"global",7,3080,-3604,10167,1547,-2766,8974,"AMR",2.68623198395786,14,51.60724777541
"1900","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","RTI","global",7,1,-22,23,NA,NA,NA,NA,NA,1,-22,23,"AMR",2.68623198395786,1,3.68623198395786
"1901","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","RTI","global",4,10,-33,61,"global",1,5947,-5584,17929,2978,-4208,15866,"AMR",2.68623198395786,10,36.8623198395786
"1902","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","tb","mdr","RTI","global",3,649,-253,2167,"global",1,45481,-47627,139404,23065,-33110,124517,"AMR",2.68623198395786,649,2392.36455758865
"1903","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","RTI","global",13,9,1,24,"global",5,-770,-4994,3412,-381,-4260,2826,"AMR",2.68623198395786,9,33.1760878556207
"1904","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSI","global",2,34,11,87,"global",2,36825,-11599,88736,18430,-6229,79438,"AMR",2.68623198395786,34,125.331887454567
"1905","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","penicillins","SSTI","global",2,52,9,144,"global",2,614,-471,1725,333,-255,1541,"AMR",2.68623198395786,52,191.684063165809
"1906","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","3g cephalosporins","UTI","global",4,16,5,38,"global",2,1587,-771,3964,801,-408,3559,"AMR",2.68623198395786,16,58.9797117433258
"1907","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gn","carbapenems","UTI","global",2,43,2,121,NA,NA,NA,NA,NA,43,2,121,"AMR",2.68623198395786,43,158.507975310188
"1908","Low income","GNB","AFRO D","Sub-Saharan Africa","AFRO","gp","glycopeptides","UTI","global",1,7,-272,303,NA,NA,NA,NA,NA,7,-272,303,"AMR",2.68623198395786,7,25.803623887705
"1909","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","B-J","wbregion",1,48,-60,207,NA,NA,NA,NA,NA,48,-60,207,"AMR",2.68623198395786,48,176.939135229977
"1910","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","wbregion",2,43,-2,121,"global",9,299,-148,771,171,-78,694,"AMR",2.68623198395786,43,158.507975310188
"1911","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","wbregion",2,-1,-65,67,NA,NA,NA,NA,NA,-1,-65,67,"AMR",2.68623198395786,-1,-3.68623198395786
"1912","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","global",14,33,10,74,"global",5,2796,-863,6287,1414,-140,5761,"AMR",2.68623198395786,33,121.645655470609
"1913","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","BSI","global",27,21,6,49,"global",12,214,-86,541,117,-30,482,"AMR",2.68623198395786,21,77.4108716631151
"1914","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","wbregion",4,44,17,96,"wbregion",1,1537,-1552,4554,790,-1063,4163,"AMR",2.68623198395786,44,162.194207294146
"1915","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","wbregion",1,13,-10,49,"wbregion",1,2329,-2493,7010,1171,-1497,5997,"AMR",2.68623198395786,13,47.9210157914522
"1916","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","global",7,20,0,55,"global",4,21079,-2505,43482,10550,-3,40627,"AMR",2.68623198395786,20,73.7246396791572
"1917","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","wbregion",1,4,2,9,"global",7,3026,-4628,10315,1515,-3151,9034,"AMR",2.68623198395786,4,14.7449279358314
"1918","Low income","HTI","AMRO D","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","global",7,1,-20,23,NA,NA,NA,NA,NA,1,-20,23,"AMR",2.68623198395786,1,3.68623198395786
